Latitude,Longitude,Description,Label,Rooms,Year,Price,District,Date,USD_Price
55.77882099999999,37.490793,"2018-06-20: 5802000 | 6498240
2018-03-14: 6344000 | Не продано
2017-12-20: 6344000 | Не продано
г.москва,демьянабедногоул.,д.20,кор.5,2ком., пл. 42.9, кв. 49","6.498.240, 2018, 3",2,2018,6498240,СЗАО,2018-06-20,102550.57194452686
55.81074399999999,37.578496,"2017-10-25: 4896000 | 5679360
2017-08-09: 5667000 | Не продано
2017-06-21: 5667000 | Не продано
2017-04-07: 5786000 | Не продано
2017-02-17: 5786000 | Не продано
г.москва,дмитровскоеш.,д.1,кор.1,1ком., пл. 35.4, кв. 73","5.679.360, 2017, 5",1,2017,5679360,САО,2017-10-25,98788.83299917348
55.621292,37.600495,"2018-11-14: 6402000 | 6402000
г.москва,днепропетровскаяул.,д.5,кор.3,2ком., пл. 44.1, кв. 116","6.402.000, 2018, 1",2,2018,6402000,ЮАО,2018-11-14,94432.43606403405
55.606929,37.71018,"2017-11-29: 4215000 | 4847250
2017-09-13: 5761000 | Не продано
2017-07-26: 5761000 | Не продано
2017-05-31: 5761000 | Не продано
г.москва,домодедовскаяул.,д.24,кор.1,1ком., пл. 36.0, кв. 517","4.847.250, 2017, 4",1,2017,4847250,ЮАО,2017-11-29,82950.29017774668
55.649312,37.717842,"2020-01-29: 5343000 | 5770440
2019-09-25: 5722000 | Не продано
2019-07-24: 5722000 | Не продано
г.москва,донецкаяул.,д.15,1ком., пл. 39.1, кв. 139","5.770.440, 2020, 3",1,2020,5770440,ЮВАО,2020-01-29,91748.79968586653
55.842974,37.457412,"2017-10-25: 5880000 | 7173600
г.москва,досфлотапроезд,д.7,2ком., пл. 52.5, кв. 57","7.173.600, 2017, 1",2,2017,7173600,СЗАО,2017-10-25,124780.18164069031
55.870314,37.565398,"2018-05-23: 4669000 | 4762380
г.москва,дубнинскаяул.,д.20,кор.3,1ком., пл. 32.8, кв. 350","4.762.380, 2018, 1",1,2018,4762380,САО,2018-05-23,77329.06477017938
55.868501,37.48817,"2018-05-23: 7542000 | 8145360
2018-02-21: 7542000 | Не продано
2017-11-08: 7968000 | Не продано
г.москва,дыбенкоул.,д.2,кор.1,2ком., пл. 53.7, кв. 14","8.145.360, 2018, 3",2,2018,8145360,САО,2018-05-23,132260.14535094393
55.60695,37.734497,"2018-03-14: 4356000 | 4486680
г.москва,елецкаяул.,д.17,кор.1,1ком., пл. 34.6, кв. 66","4.486.680, 2018, 1",1,2018,4486680,ЮАО,2018-03-14,78900.13876932267
55.738804,37.422773,"2019-01-23: 9772000 | 10553760
г.москва,ельнинскаяул.,д.20,кор.1,2ком., пл. 53.7, кв. 3","10.553.760, 2019, 1",2,2019,10553760,ЗАО,2019-01-23,159031.0253913458
55.577897,37.665596,"2017-08-09: 4134000 | 4134000
2017-06-21: 4134000 | Не продано
г.москва,загорьевскийпр.,д.5,кор.1,1ком., пл. 39.1, кв. 46","4.134.000, 2017, 2",1,2017,4134000,ЮАО,2017-08-09,68951.36948570465
55.621724,37.756632,"2017-05-17: 4625000 | 4995000
2017-02-17: 4857000 | Не продано
г.москва,задонскийпр.,д.30,кор.1,1ком., пл. 39.0, кв. 82","4.995.000, 2017, 2",1,2017,4995000,ЮАО,2017-05-17,88666.17334296867
55.759137,37.574004,"2019-06-26: 7530000 | 8584200
г.москва,замореноваул.,д.5,стр.1,1ком., пл. 30.3, кв. 33","8.584.200, 2019, 1",1,2019,8584200,ЦАО,2019-06-26,137281.74315322796
55.678458,37.682287,"2017-10-11: 4581000 | 5497200
г.москва,затоннаяул.,д.8,кор.2,1ком., пл. 32.7, кв. 53","5.497.200, 2017, 1",1,2017,5497200,ЮАО,2017-10-11,94400.5681886295
55.678458,37.682287,"2018-06-20: 5692000 | 6830400
г.москва,затоннаяул.,д.8,кор.2,2ком., пл. 38.8, кв. 128","6.830.400, 2018, 1",2,2018,6830400,ЮАО,2018-06-20,107792.48328930546
55.714475,37.787282,"2017-11-29: 4591000 | 4591000
2017-10-11: 4591000 | Не продано
2017-07-26: 4925000 | Не продано
2017-05-31: 4925000 | Не продано
2017-04-07: 4925000 | Не продано
г.москва,зеленодольскаяул.,д.7,кор.1,1ком., пл. 35.0, кв. 90","4.591.000, 2017, 5",1,2017,4591000,ЮВАО,2017-11-29,78565.12088421993
55.75040300000001,37.820556,"2018-07-25: 5162000 | 5316860
г.москва,зеленыйпр-т,д.62,кор.2,1ком., пл. 35.1, кв. 63","5.316.860, 2018, 1",1,2018,5316860,ВАО,2018-07-25,84408.80668965842
55.74981500000001,37.821427,"2017-08-23: 4988000 | 5137640
2017-06-07: 5896000 | Не продано
2017-04-20: 5896000 | Не продано
г.москва,зеленыйпр-т,д.64,2ком., пл. 42.4, кв. 73","5.137.640, 2017, 3",2,2017,5137640,ВАО,2017-08-23,86971.62280549943
55.75511,37.656523,"2018-10-10: 11519000 | 11519000
2018-08-22: 11519000 | Не продано
2018-05-23: 14262000 | Не продано
г.москва,землянойвалул.,д.38-40/15,стр.9,2ком., пл. 50.4, кв. 103","11.519.000, 2018, 3",2,2018,11519000,ЦАО,2018-10-10,172869.18457070272
55.804354,37.724175,"2018-03-14: 5930000 | 5930000
г.москва,знаменскаяул.,д.53,2ком., пл. 40.1, кв. 51","5.930.000, 2018, 1",2,2018,5930000,ВАО,2018-03-14,104281.52284140688
55.81823000000001,37.505552,"2017-11-08: 9087000 | 9087000
г.москва,зоииалександракосмодемьянскихул.,д.6,2ком., пл. 53.3, кв. 40","9.087.000, 2017, 1",2,2017,9087000,САО,2017-11-08,155986.60773132485
55.76447,37.582206,"2018-03-14: 8441000 | 9453920
г.москва,зоологическаяул.,д.12,кор.2,1ком., пл. 34.2, кв. 132","9.453.920, 2018, 1",1,2018,9453920,ЦАО,2018-03-14,166251.12553471053
55.780087,37.731874,"2019-04-24: 7628000 | 7628000
2019-02-20: 7628000 | Не продано
г.москва,ибрагимоваул.,д.2,2ком., пл. 45.1, кв. 147","7.628.000, 2019, 2",2,2019,7628000,ВАО,2019-04-24,119589.81042506639
55.86691,37.526681,"2017-09-20: 4721000 | 4721000
2017-07-12: 5282000 | Не продано
2017-05-17: 5282000 | Не продано
2017-01-21: 5633000 | Не продано
г.москва,иванасусанинаул.,д.4,кор.2,2ком., пл. 45.1, кв. 242","4.721.000, 2017, 4",2,2017,4721000,САО,2017-09-20,81293.81399247628
55.796223,37.803811,"2018-04-04: 5524000 | 6794520
г.москва,измайловскийбульвар,д.40,1ком., пл. 37.5, кв. 6","6.794.520, 2018, 1",1,2018,6794520,ВАО,2018-04-04,118295.5914199594
55.797852,37.769927,"2017-04-07: 4823000 | 4823000
2017-02-17: 4823000 | Не продано
г.москва,измайловскийпр.,д.18,кор.1,1ком., пл. 35.0, кв. 71","4.823.000, 2017, 2",1,2017,4823000,ВАО,2017-04-07,85492.50960363576
55.878703,37.694783,"2018-10-10: 4838000 | 4983140
2018-08-22: 4838000 | Не продано
г.москва,изумруднаяул.,д.50,1ком., пл. 32.8, кв. 78","4.983.140, 2018, 2",1,2018,4983140,СВАО,2018-10-10,74783.51839583745
55.891734,37.57819,"2018-02-21: 4495000 | 4495000
2017-11-08: 5042000 | Не продано
г.москва,илимскаяул.,д.6,1ком., пл. 37.8, кв. 134","4.495.000, 2018, 2",1,2018,4495000,СВАО,2018-02-21,79729.39820113489
55.803079,37.538521,"2017-09-13: 9070000 | 9070180
2017-06-07: 9322000 | Не продано
2017-04-20: 9322000 | Не продано
г.москва,ильюшинаакадемикаул.,д.1,кор.2,3ком., пл. 54.5, кв. 211","9.070.180, 2017, 3",3,2017,9070180,САО,2017-09-13,158564.87253087378
55.592953,37.548276,"2017-03-03: 4932000 | 4932000
г.москва,инессыармандул.,д.3,1ком., пл. 35.1, кв. 233","4.932.000, 2017, 1",1,2017,4932000,ЮЗАО,2017-03-03,84689.88245811766
55.59178299999999,37.545078,"2018-01-24: 3819000 | 4391850
2017-10-25: 4407000 | Не продано
2017-08-23: 4407000 | Не продано
2017-06-07: 4850000 | Не продано
2017-04-20: 4850000 | Не продано
г.москва,инессыармандул.,д.4,кор.1,1ком., пл. 33.0, кв. 210","4.391.850, 2018, 5",1,2018,4391850,ЮЗАО,2018-01-24,77777.42376452453
55.71729499999999,37.457097,"2018-01-24: 6668000 | 6668000
г.москва,инициативнаяул.,д.8,кор.2,2ком., пл. 45.6, кв. 11","6.668.000, 2018, 1",2,2018,6668000,ЗАО,2018-01-24,118086.87948401006
55.80724300000001,37.420877,"2019-04-24: 6597000 | 7388640
г.москва,исаковскогоул.,д.27,кор.2,1ком., пл. 39.0, кв. 86","7.388.640, 2019, 1",1,2019,7388640,СЗАО,2019-04-24,115837.18627412985
55.80674200000001,37.422647,"2019-11-27: 9366000 | 9740640
г.москва,исаковскогоул.,д.27,кор.3,2ком., пл. 51.8, кв. 47","9.740.640, 2019, 1",2,2019,9740640,СЗАО,2019-11-27,152440.20909221596
55.807476,37.41688900000001,"2018-08-22: 6697000 | 7165790
2018-05-23: 6892000 | Не продано
г.москва,исаковскогоул.,д.28,кор.1,2ком., пл. 45.7, кв. 41","7.165.790, 2018, 2",2,2018,7165790,СЗАО,2018-08-22,107013.26210315284
55.86259,37.664258,"2019-10-30: 4863000 | 5884230
г.москва,искрыул.,д.13,кор.1,1ком., пл. 29.8, кв. 243","5.884.230, 2019, 1",1,2019,5884230,СВАО,2019-10-30,92364.67090456045
55.82489,37.807117,"2017-03-03: 4207000 | 4585630
г.москва,камчатскаяул.,д.5,1ком., пл. 34.7, кв. 135","4.585.630, 2017, 1",1,2017,4585630,ВАО,2017-03-03,78742.18688086336
55.638084,37.670088,"2018-08-22: 5471000 | 5471000
г.москва,кантемировскаяул.,д.12,кор.2,1ком., пл. 38.0, кв. 81","5.471.000, 2018, 1",1,2018,5471000,ЮАО,2018-08-22,81703.42097191645
55.775424,37.461122,"2019-10-30: 8161000 | 8161000
г.москва,карамышевскаянаб.,д.60,1ком., пл. 39.4, кв. 2","8.161.000, 2019, 1",1,2019,8161000,СЗАО,2019-10-30,128103.09577499822
55.858685,37.591126,"2018-03-14: 4647000 | 5204640
2017-11-29: 5204000 | Не продано
2017-10-11: 5204000 | Не продано
2017-07-26: 5599000 | Не продано
2017-05-31: 5599000 | Не продано
2017-04-07: 5599000 | Не продано
г.москва,каргопольскаяул.,д.2,1ком., пл. 37.9, кв. 352","5.204.640, 2018, 6",1,2018,5204640,СВАО,2018-03-14,91525.76476244518
55.706766,37.86949600000001,"2017-04-07: 4124000 | 4124000
2017-02-17: 4124000 | Не продано
г.москва,каскаднаяул.,д.20,кор.2,1ком., пл. 34.9, кв. 15","4.124.000, 2017, 2",1,2017,4124000,ВАО,2017-04-07,73102.03392191455
55.653746,37.58093,"2019-01-23: 4928000 | 5272960
2018-11-14: 4928000 | Не продано
г.москва,каховкаул.,д.10/12,кор.1,1ком., пл. 31.5, кв. 5","5.272.960, 2019, 2",1,2019,5272960,ЮЗАО,2019-01-23,79456.44354690182
55.657875,37.564922,"2017-08-09: 4781000 | 4781000
г.москва,каховкаул.,д.35,кор.2,1ком., пл. 35.1, кв. 161","4.781.000, 2017, 1",1,2017,4781000,ЮЗАО,2017-08-09,79742.74250390758
55.662187,37.630499,"2017-09-13: 7634000 | 9237140
2017-06-21: 7634000 | Не продано
г.москва,каширскоешоссе,д.16,2ком., пл. 57.7, кв. 219","9.237.140, 2017, 2",2,2017,9237140,ЮАО,2017-09-13,161483.6669889501
55.626065,37.60823900000001,"2019-06-26: 6865000 | 7345550
г.москва,кировоградскаяул.,д.10,кор.2,2ком., пл. 45.2, кв. 139","7.345.550, 2019, 1",2,2019,7345550,ЮАО,2019-06-26,117472.78819449613
55.626065,37.60823900000001,"2017-08-23: 6665000 | 7464800
г.москва,кировоградскаяул.,д.10,кор.2,3ком., пл. 55.5, кв. 278","7.464.800, 2017, 1",3,2017,7464800,ЮАО,2017-08-23,126366.53598120772
55.618024,37.605957,"2017-10-25: 5226000 | 5226000
г.москва,кировоградскаяул.,д.20,кор.1,1ком., пл. 37.0, кв. 112","5.226.000, 2017, 1",1,2017,5226000,ЮАО,2017-10-25,90902.92590251025
55.67556,37.682503,"2018-11-14: 6020000 | 6923000
г.москва,кленовыйбульвар,д.25,кор.1,2ком., пл. 38.0, кв. 18","6.923.000, 2018, 1",2,2018,6923000,ЮАО,2018-11-14,102117.42500332829
55.888351,37.52227,"2017-06-21: 4158000 | 4365900
г.москва,клязьминскаяул.,д.7,кор.2,1ком., пл. 37.6, кв. 331","4.365.900, 2017, 1",1,2017,4365900,САО,2017-06-21,74731.5602399022
55.725214,37.578496,"2018-02-21: 9327000 | 14270310
г.москва,комсомольскийпр-т,д.30,2ком., пл. 43.2, кв. 84","14.270.310, 2018, 1",2,2018,14270310,ЦАО,2018-02-21,253117.51467044206
55.889013,37.60337,"2019-03-27: 5959000 | 6733670
г.москва,конёнковаул.,д.5,1ком., пл. 39.1, кв. 138","6.733.670, 2019, 1",1,2019,6733670,СВАО,2019-03-27,105232.66798396941
55.896236,37.633976,"2019-09-25: 6954000 | 7023540
г.москва,корнейчукаул.,д.37,2ком., пл. 52.2, кв. 70","7.023.540, 2019, 1",2,2019,7023540,СВАО,2019-09-25,110165.91851230504
55.89348,37.624867,"2018-02-21: 4411000 | 5116760
2017-11-08: 5193000 | Не продано
2017-09-13: 5193000 | Не продано
г.москва,корнейчукаул.,д.58а,2ком., пл. 44.1, кв. 178","5.116.760, 2018, 3",2,2018,5116760,СВАО,2018-02-21,90757.77431360153
55.820531,37.661734,"2017-10-11: 5576000 | 5576000
2017-07-26: 6753000 | Не продано
2017-05-31: 6753000 | Не продано
2017-04-07: 6753000 | Не продано
г.москва,космонавтовул.,д.26,2ком., пл. 37.5, кв. 22","5.576.000, 2017, 4",2,2017,5576000,СВАО,2017-10-11,95753.75977221096
55.676864,37.488404,"2018-11-14: 7348000 | 7641920
2018-08-22: 7561000 | Не продано
2018-07-04: 7561000 | Не продано
2018-04-04: 7959000 | Не продано
2018-01-24: 7959000 | Не продано
2017-10-25: 8616000 | Не продано
2017-08-23: 8616000 | Не продано
г.москва,коштоянцаул.,д.33,2ком., пл. 47.3, кв. 27","7.641.920, 2018, 7",2,2018,7641920,ЗАО,2018-11-14,112721.82471203734
55.80754200000001,37.706658,"2017-11-08: 4686000 | 4686000
2017-08-09: 5100000 | Не продано
2017-06-21: 5100000 | Не продано
г.москва,краснобогатырскаяул.,д.75,кор.1,1ком., пл. 35.0, кв. 359","4.686.000, 2017, 3",1,2017,4686000,ВАО,2017-11-08,80439.44578287534
55.614338,37.597118,"2018-11-14: 8128000 | 8128000
г.москва,красногомаякаул.,д.8,кор.2,3ком., пл. 56.0, кв. 443","8.128.000, 2018, 1",3,2018,8128000,ЮАО,2018-11-14,119891.72763643684
55.676509,37.749697,"2019-06-26: 6122000 | 6366880
г.москва,краснодонскаяул.,д.27,2ком., пл. 42.7, кв. 79","6.366.880, 2019, 1",2,2019,6366880,ЮВАО,2019-06-26,101821.5308179474
55.725635,37.435699,"2018-07-04: 4913000 | 4913000
г.москва,красныхзорьул.,д.19/2,1ком., пл. 35.4, кв. 60","4.913.000, 2018, 1",1,2018,4913000,ЗАО,2018-07-04,77454.9732350431
55.845471,37.494889,"2019-09-25: 5940000 | 6831000
г.москва,кронштадтскийб-р,д.23,кор.1,1ком., пл. 34.7, кв. 77","6.831.000, 2019, 1",1,2019,6831000,САО,2019-09-25,107145.88218441921
55.85103,37.505696,"2019-05-29: 5968000 | 5968000
2019-03-27: 5968000 | Не продано
г.москва,кронштадтскийбульвар,д.43,кор.2,2ком., пл. 37.9, кв. 104","5.968.000, 2019, 2",2,2019,5968000,САО,2019-05-29,92751.60131681483
55.68465500000001,37.531586,"2020-01-29: 7713000 | 8252910
г.москва,крупскойул.,д.6,кор.2,1ком., пл. 34.8, кв. 109","8.252.910, 2020, 1",1,2020,8252910,ЮЗАО,2020-01-29,131219.55802598843
55.730304,37.422916,"2017-08-30: 5612000 | 5668120
г.москва,кунцевскаяул.,д.1/5,1ком., пл. 37.6, кв. 57","5.668.120, 2017, 1",1,2017,5668120,ЗАО,2017-08-30,97007.01643669019
55.617429,37.756739,"2017-11-29: 4266000 | 4607280
г.москва,кустанайскаяул.,д.7,кор.3,1ком., пл. 39.0, кв. 451","4.607.280, 2017, 1",1,2017,4607280,ЮАО,2017-11-29,78843.71817631208
55.68361,37.72714000000001,"2018-11-14: 6610000 | 6610000
г.москва,кухмистероваул.,д.16,3ком., пл. 51.1, кв. 14","6.610.000, 2018, 1",3,2018,6610000,ЮВАО,2018-11-14,97500.53145630506
55.851505,37.50425900000001,"2017-09-20: 3985000 | 4104550
2017-07-12: 4382000 | Не продано
2017-05-17: 4382000 | Не продано
2017-02-17: 4478000 | Не продано
г.москва,лавочкинаул.,д.6,кор.2,1ком., пл. 32.6, кв. 216","4.104.550, 2017, 4",1,2017,4104550,САО,2017-09-20,70678.780813984
55.58645600000001,37.671328,"2018-07-25: 4285000 | 4285000
г.москва,лебедянскаяул.,д.12,кор.1,1ком., пл. 39.2, кв. 383","4.285.000, 2018, 1",1,2018,4285000,ЮАО,2018-07-25,68027.32000940148
